id_pedido,cliente,pais,regiao,categoria_produto,data_pedido,data_prometida_entrega,data_real_entrega,modalidade_transporte,armazem,fornecedor,transportadora,valor_pedido_eur,unidades_pedidas,stock_disponivel,lead_time_dias,taxa_atraso_historica,distancia_km,prioridade,score_risco_ia,atraso_previsto,atraso_real
PED20260039,El Corte Inglés Lisboa,Portugal,Alentejo,Peças Industriais,2026-01-13,2026-01-19,2026-01-24,Paletizado,Barcelona,Lisboa Components,NACEX,10455.71,69,61,6,0.32,866,Baixa,0.61,1,1
PED20260040,Retail Barcelona Hub,Espanha,Valência,Eletrónica,2026-02-27,2026-03-07,2026-03-07,Rodoviário,Sevilha,Porto Tech Parts,SEUR,13382.36,36,189,8,0.15,480,Alta,0.41,0,0
PED20260041,Distribuição Minho,Portugal,Centro,Peças Industriais,2026-03-04,2026-03-12,2026-03-12,Expresso,Valência,Lisboa Components,MRW,3169.21,67,93,8,0.14,869,Média,0.37,0,0
PED20260042,Auchan Retail PT,Portugal,Lisboa e Vale do Tejo,Eletrodomésticos,2026-03-04,2026-03-10,2026-03-10,Rodoviário,Barcelona,Galicia Procurement,NACEX,19553.15,90,60,6,0.10,498,Média,0.34,0,0
PED20260043,Canarias Trade,Espanha,Valência,Peças Industriais,2026-03-18,2026-03-24,2026-03-24,Rodoviário,Lisboa,Catalunya Freight,Correos Express,11084.66,227,197,6,0.22,336,Média,0.44,0,0
PED20260044,Distribución Galicia,Espanha,País Basco,Peças Industriais,2026-02-19,2026-02-25,2026-02-24,Paletizado,Madrid,Atlântico Distribuição,GLS Iberia,24128.31,165,103,6,0.01,485,Alta,0.37,0,0
PED20260045,Staples Portugal,Portugal,Centro,Saúde e Bem-Estar,2026-02-18,2026-02-25,2026-02-24,Rodoviário,Madrid,IberSupply Logistics,CTT Expresso,865.41,42,121,7,0.21,513,Média,0.31,0,0
PED20260046,Retail Barcelona Hub,Espanha,Andaluzia,Peças Industriais,2026-03-29,2026-04-07,2026-04-11,Expresso,Lisboa,Lisboa Components,NACEX,7112.82,45,227,9,0.22,638,Alta,0.39,0,1
PED20260047,FNAC Portugal,Portugal,Alentejo,Eletrodomésticos,2026-03-27,2026-04-03,2026-04-06,Paletizado,Madrid,Madrid Goods Network,MRW,22363.50,75,219,7,0.14,606,Média,0.44,0,1
PED20260048,Distribuição Minho,Portugal,Centro,Eletrodomésticos,2026-01-19,2026-01-21,2026-01-23,Paletizado,Valência,Lisboa Components,NACEX,75988.37,236,110,2,0.11,689,Média,0.41,0,1
PED20260049,Farmacia Valencia Centro,Espanha,Galiza,Saúde e Bem-Estar,2026-02-14,2026-02-16,2026-02-15,Expresso,Barcelona,Catalunya Freight,SEUR,7457.81,124,146,2,0.12,1161,Média,0.24,0,0
PED20260050,Farmacia Valencia Centro,Espanha,Madrid,Peças Industriais,2026-02-19,2026-02-25,2026-03-01,Paletizado,Valência,Madrid Goods Network,NACEX,4544.53,32,94,6,0.05,970,Média,0.34,0,1
PED20260051,Worten Business,Portugal,Norte,Eletrónica,2026-03-11,2026-03-14,2026-03-14,Rodoviário,Lisboa,Lisboa Components,Correos Express,36381.76,104,48,3,0.16,869,Baixa,0.51,1,0
PED20260052,Mercadona Empresas,Espanha,País Basco,Saúde e Bem-Estar,2026-01-14,2026-01-20,2026-01-19,Rodoviário,Barcelona,Porto Tech Parts,Correos Express,11190.37,144,178,6,0.06,207,Alta,0.18,0,0
PED20260053,Mercado Coimbra Norte,Portugal,Lisboa e Vale do Tejo,Material de Escritório,2026-04-09,2026-04-18,2026-04-20,Rodoviário,Sevilha,Catalunya Freight,GLS Iberia,1386.66,58,41,9,0.05,316,Baixa,0.63,1,1
PED20260054,Distribuição Minho,Portugal,Norte,Material de Escritório,2026-01-24,2026-01-29,2026-01-28,Paletizado,Porto,IberSupply Logistics,SEUR,84.89,18,156,5,0.19,945,Média,0.33,0,0
PED20260055,Tech Sevilla Store,Espanha,País Basco,Eletrónica,2026-03-05,2026-03-13,2026-03-13,Expresso,Barcelona,IberSupply Logistics,Correos Express,2710.55,23,155,8,0.09,800,Média,0.45,0,0
PED20260056,Carrefour España,Espanha,País Basco,Eletrónica,2026-01-31,2026-02-07,2026-02-06,Expresso,Porto,Norte Industrial,NACEX,31353.95,91,143,7,0.06,991,Média,0.33,0,0
PED20260057,Carrefour España,Espanha,País Basco,Saúde e Bem-Estar,2026-03-14,2026-03-20,2026-03-25,Paletizado,Lisboa,Catalunya Freight,MRW,12408.46,176,153,6,0.18,1249,Alta,0.39,0,1
PED20260058,Worten Business,Portugal,Alentejo,Material de Escritório,2026-02-06,2026-02-10,2026-02-13,Expresso,Sevilha,Atlântico Distribuição,SEUR,4174.96,211,62,4,0.17,567,Baixa,0.31,0,1
PED20260059,Alcampo Retail,Espanha,Madrid,Material de Escritório,2026-04-06,2026-04-07,2026-04-06,Expresso,Valência,Catalunya Freight,MRW,341.72,28,119,1,0.07,1182,Baixa,0.26,0,0
PED20260060,Mercado Coimbra Norte,Portugal,Algarve,Eletrónica,2026-03-20,2026-03-28,2026-04-02,Paletizado,Barcelona,Atlântico Distribuição,SEUR,11587.16,111,107,8,0.26,651,Média,0.73,1,1
PED20260061,Continente Online,Portugal,Centro,Saúde e Bem-Estar,2026-01-17,2026-01-18,2026-01-18,Expresso,Porto,Porto Tech Parts,GLS Iberia,5810.49,132,119,1,0.08,167,Média,0.27,0,0
PED20260062,Staples Portugal,Portugal,Norte,Saúde e Bem-Estar,2026-02-24,2026-03-01,2026-03-06,Expresso,Sevilha,Galicia Procurement,Correos Express,1398.32,34,12,5,0.25,914,Média,0.67,1,1
PED20260063,Farmacia Valencia Centro,Espanha,Madrid,Peças Industriais,2026-01-23,2026-01-25,2026-01-27,Rodoviário,Madrid,Lisboa Components,NACEX,28572.03,135,78,2,0.06,322,Média,0.25,0,1
PED20260064,Loja Algarve Tech,Portugal,Centro,Eletrónica,2026-03-15,2026-03-23,2026-03-23,Expresso,Valência,Catalunya Freight,GLS Iberia,55090.18,179,177,8,0.08,159,Média,0.49,0,0
PED20260065,El Corte Inglés Lisboa,Portugal,Algarve,Eletrónica,2026-02-07,2026-02-09,2026-02-08,Rodoviário,Barcelona,Lisboa Components,Correos Express,50975.06,170,184,2,0.01,104,Baixa,0.22,0,0
PED20260066,Distribución Galicia,Espanha,Valência,Eletrodomésticos,2026-02-14,2026-02-16,2026-02-15,Rodoviário,Barcelona,Catalunya Freight,CTT Expresso,20476.32,134,111,2,0.11,599,Alta,0.24,0,0
PED20260067,Carrefour España,Espanha,Andaluzia,Eletrónica,2026-03-27,2026-03-30,2026-03-30,Expresso,Barcelona,Norte Industrial,NACEX,37577.80,90,184,3,0.19,193,Média,0.14,0,0
PED20260068,Distribuição Minho,Portugal,Algarve,Eletrónica,2026-01-25,2026-01-29,2026-01-28,Rodoviário,Madrid,Valencia Source,MRW,13648.36,92,174,4,0.10,1125,Média,0.26,0,0
PED20260069,Bilbao Smart Retail,Espanha,Galiza,Material de Escritório,2026-03-31,2026-04-03,2026-04-07,Rodoviário,Porto,Galicia Procurement,Correos Express,1779.12,189,72,3,0.16,939,Baixa,0.44,0,1
PED20260070,El Corte Inglés Lisboa,Portugal,Algarve,Peças Industriais,2026-02-24,2026-02-27,2026-03-01,Expresso,Madrid,Andalucía Supply Hub,GLS Iberia,20167.88,214,141,3,0.23,1076,Média,0.61,1,1
PED20260071,Tech Sevilla Store,Espanha,Galiza,Material de Escritório,2026-01-05,2026-01-12,2026-01-15,Expresso,Porto,Valencia Source,CTT Expresso,93.66,18,81,7,0.18,706,Alta,0.32,0,1
PED20260072,Canarias Trade,Espanha,Catalunha,Peças Industriais,2026-01-29,2026-02-01,2026-02-01,Rodoviário,Lisboa,Andalucía Supply Hub,MRW,6433.60,145,183,3,0.09,956,Baixa,0.20,0,0
PED20260073,Distribuição Minho,Portugal,Algarve,Eletrodomésticos,2026-03-21,2026-03-27,2026-03-27,Expresso,Porto,Porto Tech Parts,NACEX,13771.92,66,90,6,0.11,1059,Média,0.22,0,0
PED20260074,Distribuição Minho,Portugal,Alentejo,Saúde e Bem-Estar,2026-02-15,2026-02-19,2026-02-19,Expresso,Lisboa,Lisboa Components,NACEX,3380.25,192,107,4,0.10,378,Alta,0.31,0,0
PED20260075,Mercado Coimbra Norte,Portugal,Centro,Eletrónica,2026-01-27,2026-01-28,2026-01-31,Rodoviário,Madrid,Andalucía Supply Hub,CTT Expresso,37889.42,85,174,1,0.09,751,Baixa,0.22,0,1
PED20260076,Carrefour España,Espanha,Andaluzia,Peças Industriais,2026-01-25,2026-02-02,2026-02-03,Expresso,Barcelona,Valencia Source,NACEX,6512.94,182,6,8,0.13,389,Média,0.51,1,1
PED20260077,Retail Barcelona Hub,Espanha,Andaluzia,Saúde e Bem-Estar,2026-02-27,2026-03-05,2026-03-04,Expresso,Valência,Andalucía Supply Hub,MRW,3304.39,119,217,6,0.17,173,Baixa,0.20,0,0
PED20260078,Worten Business,Portugal,Algarve,Peças Industriais,2026-02-17,2026-02-23,2026-02-23,Rodoviário,Lisboa,IberSupply Logistics,DHL Iberia,11205.15,103,132,6,0.12,301,Alta,0.14,0,0
PED20260079,Pingo Doce Empresas,Portugal,Norte,Material de Escritório,2026-02-04,2026-02-12,2026-02-12,Paletizado,Barcelona,Andalucía Supply Hub,MRW,959.48,59,160,8,0.13,931,Baixa,0.62,1,0
PED20260080,Canarias Trade,Espanha,Madrid,Eletrodomésticos,2026-04-01,2026-04-04,2026-04-03,Rodoviário,Madrid,Norte Industrial,SEUR,31590.61,208,97,3,0.17,1192,Média,0.42,0,0
PED20260081,Pingo Doce Empresas,Portugal,Lisboa e Vale do Tejo,Peças Industriais,2026-01-11,2026-01-14,2026-01-19,Expresso,Barcelona,Andalucía Supply Hub,MRW,15140.52,86,85,3,0.06,392,Alta,0.30,0,1
PED20260082,Lusodata Solutions,Portugal,Norte,Eletrodomésticos,2026-04-02,2026-04-06,2026-04-08,Rodoviário,Porto,Catalunya Freight,SEUR,11632.42,93,177,4,0.10,640,Média,0.20,0,1
PED20260083,Worten Business,Portugal,Algarve,Eletrodomésticos,2026-01-05,2026-01-07,2026-01-07,Rodoviário,Sevilha,Madrid Goods Network,GLS Iberia,790.22,16,201,2,0.09,1137,Alta,0.17,0,0
PED20260084,Mercado Coimbra Norte,Portugal,Alentejo,Saúde e Bem-Estar,2026-02-24,2026-03-04,2026-03-05,Rodoviário,Valência,Andalucía Supply Hub,CTT Expresso,7486.07,123,139,8,0.23,287,Baixa,0.57,1,1
PED20260085,El Corte Inglés Madrid,Espanha,Valência,Eletrónica,2026-02-08,2026-02-15,2026-02-19,Rodoviário,Porto,Lisboa Components,Correos Express,89828.20,226,91,7,0.09,346,Baixa,0.61,1,1
PED20260086,Tech Sevilla Store,Espanha,Madrid,Eletrónica,2026-02-16,2026-02-17,2026-02-17,Rodoviário,Barcelona,Valencia Source,MRW,6608.09,17,106,1,0.24,294,Baixa,0.37,0,0
PED20260087,Mercadona Empresas,Espanha,Valência,Eletrónica,2026-01-11,2026-01-18,2026-01-21,Expresso,Porto,Galicia Procurement,MRW,51170.77,134,59,7,0.16,784,Média,0.55,1,1
PED20260088,FNAC Portugal,Portugal,Algarve,Eletrodomésticos,2026-04-03,2026-04-09,2026-04-09,Rodoviário,Lisboa,Valencia Source,MRW,18978.88,210,65,6,0.14,632,Baixa,0.35,0,0
PED20260089,Tech Sevilla Store,Espanha,Madrid,Saúde e Bem-Estar,2026-04-04,2026-04-05,2026-04-05,Expresso,Lisboa,Madrid Goods Network,NACEX,7785.58,157,0,1,0.16,369,Média,0.29,0,0
PED20260090,Lusodata Solutions,Portugal,Centro,Eletrónica,2026-02-11,2026-02-18,2026-02-18,Rodoviário,Lisboa,Galicia Procurement,NACEX,10995.51,43,91,7,0.16,302,Baixa,0.36,0,0
PED20260091,Alcampo Retail,Espanha,Catalunha,Peças Industriais,2026-04-04,2026-04-09,2026-04-09,Expresso,Sevilha,Norte Industrial,SEUR,34848.78,161,0,5,0.15,444,Média,0.37,0,0
PED20260092,Farmacia Valencia Centro,Espanha,País Basco,Saúde e Bem-Estar,2026-02-21,2026-02-27,2026-02-27,Paletizado,Sevilha,Lisboa Components,CTT Expresso,6653.51,202,133,6,0.07,1001,Média,0.41,0,0
PED20260093,MediaMarkt Iberia,Espanha,Madrid,Eletrodomésticos,2026-03-10,2026-03-14,2026-03-14,Rodoviário,Porto,Galicia Procurement,DHL Iberia,56952.14,168,122,4,0.17,343,Média,0.28,0,0
PED20260094,Retail Barcelona Hub,Espanha,Catalunha,Saúde e Bem-Estar,2026-01-13,2026-01-17,2026-01-17,Rodoviário,Valência,Madrid Goods Network,SEUR,5370.37,141,113,4,0.01,94,Alta,0.39,0,0
PED20260095,Hotelaria Alentejo,Portugal,Lisboa e Vale do Tejo,Eletrónica,2026-02-13,2026-02-18,2026-02-18,Paletizado,Sevilha,IberSupply Logistics,SEUR,30567.73,121,182,5,0.12,250,Baixa,0.27,0,0
PED20260096,Continente Online,Portugal,Lisboa e Vale do Tejo,Saúde e Bem-Estar,2026-03-24,2026-03-31,2026-04-03,Rodoviário,Porto,Galicia Procurement,NACEX,16995.17,216,79,7,0.16,33,Média,0.46,0,1
PED20260097,Dia Distribución,Espanha,Galiza,Eletrodomésticos,2026-01-09,2026-01-11,2026-01-13,Expresso,Valência,IberSupply Logistics,SEUR,9473.46,124,102,2,0.21,624,Média,0.32,0,1
PED20260098,MediaMarkt Iberia,Espanha,Valência,Eletrodomésticos,2026-04-08,2026-04-17,2026-04-16,Paletizado,Valência,Madrid Goods Network,Correos Express,37483.29,210,101,9,0.08,760,Alta,0.54,1,0
PED20260099,Loja Algarve Tech,Portugal,Algarve,Material de Escritório,2026-01-28,2026-02-05,2026-02-06,Expresso,Sevilha,Catalunya Freight,SEUR,183.75,28,163,8,0.08,651,Baixa,0.45,0,1
PED20260100,Loja Algarve Tech,Portugal,Norte,Eletrónica,2026-01-09,2026-01-11,2026-01-11,Rodoviário,Valência,Valencia Source,SEUR,44987.39,125,170,2,0.15,803,Média,0.25,0,0
PED20260101,Carrefour España,Espanha,País Basco,Eletrodomésticos,2026-03-11,2026-03-18,2026-03-17,Rodoviário,Madrid,Catalunya Freight,NACEX,36808.68,140,216,7,0.29,888,Baixa,0.63,1,0
PED20260102,Alcampo Retail,Espanha,Catalunha,Saúde e Bem-Estar,2026-02-24,2026-02-25,2026-02-24,Rodoviário,Lisboa,Porto Tech Parts,NACEX,3870.02,66,126,1,0.17,843,Alta,0.18,0,0
PED20260103,Farmácia Sesimbra,Portugal,Lisboa e Vale do Tejo,Material de Escritório,2026-02-12,2026-02-16,2026-02-16,Paletizado,Sevilha,Galicia Procurement,SEUR,1161.62,82,223,4,0.01,378,Alta,0.24,0,0
PED20260104,El Corte Inglés Lisboa,Portugal,Alentejo,Eletrodomésticos,2026-02-19,2026-02-22,2026-02-21,Expresso,Barcelona,Madrid Goods Network,NACEX,11456.96,198,83,3,0.12,865,Baixa,0.51,1,0
PED20260105,El Corte Inglés Madrid,Espanha,Andaluzia,Material de Escritório,2026-01-13,2026-01-22,2026-01-26,Expresso,Lisboa,Madrid Goods Network,NACEX,3673.49,190,127,9,0.11,1223,Alta,0.60,1,1
PED20260106,Lusodata Solutions,Portugal,Lisboa e Vale do Tejo,Saúde e Bem-Estar,2026-04-08,2026-04-16,2026-04-19,Paletizado,Porto,IberSupply Logistics,DHL Iberia,11412.18,239,123,8,0.24,1112,Baixa,0.85,1,1
PED20260107,Tech Sevilla Store,Espanha,Madrid,Peças Industriais,2026-03-15,2026-03-19,2026-03-24,Expresso,Madrid,Madrid Goods Network,DHL Iberia,9793.56,194,143,4,0.18,797,Média,0.30,0,1
PED20260108,Dia Distribución,Espanha,Valência,Peças Industriais,2026-04-04,2026-04-13,2026-04-15,Expresso,Valência,Andalucía Supply Hub,DHL Iberia,24415.78,130,162,9,0.28,119,Baixa,0.57,1,1
PED20260109,Retalho Porto Sul,Portugal,Centro,Eletrónica,2026-03-24,2026-04-01,2026-04-01,Expresso,Barcelona,Porto Tech Parts,MRW,47599.39,173,114,8,0.13,55,Baixa,0.55,1,0
PED20260110,Pingo Doce Empresas,Portugal,Norte,Eletrodomésticos,2026-02-16,2026-02-21,2026-02-20,Paletizado,Porto,Catalunya Freight,DHL Iberia,52427.00,208,81,5,0.18,185,Média,0.39,0,0
PED20260111,Makro Portugal,Portugal,Alentejo,Peças Industriais,2026-01-23,2026-01-25,2026-01-25,Paletizado,Lisboa,Norte Industrial,Correos Express,26262.49,132,160,2,0.03,490,Baixa,0.25,0,0
PED20260112,Mercadona Empresas,Espanha,Madrid,Saúde e Bem-Estar,2026-02-11,2026-02-12,2026-02-12,Rodoviário,Valência,Norte Industrial,MRW,785.29,58,48,1,0.06,816,Baixa,0.46,0,0
PED20260113,Mercado Coimbra Norte,Portugal,Norte,Eletrodomésticos,2026-01-11,2026-01-17,2026-01-17,Expresso,Lisboa,Madrid Goods Network,CTT Expresso,55284.56,159,134,6,0.01,1024,Baixa,0.38,0,0
PED20260114,MediaMarkt Iberia,Espanha,País Basco,Eletrodomésticos,2026-04-03,2026-04-05,2026-04-04,Expresso,Sevilha,Valencia Source,CTT Expresso,1777.65,26,114,2,0.21,651,Alta,0.13,0,0
PED20260115,Pingo Doce Empresas,Portugal,Centro,Peças Industriais,2026-01-05,2026-01-07,2026-01-06,Paletizado,Sevilha,Andalucía Supply Hub,MRW,9762.39,95,56,2,0.09,1165,Média,0.53,1,0
PED20260116,MediaMarkt Iberia,Espanha,Catalunha,Saúde e Bem-Estar,2026-02-26,2026-03-03,2026-03-07,Rodoviário,Barcelona,Lisboa Components,SEUR,6709.33,112,93,5,0.26,957,Baixa,0.59,1,1
PED20260117,Madrid B2B Market,Espanha,Galiza,Peças Industriais,2026-03-26,2026-03-29,2026-03-29,Expresso,Madrid,Madrid Goods Network,Correos Express,17313.35,81,67,3,0.31,1025,Alta,0.65,1,0
PED20260118,Dia Distribución,Espanha,Valência,Saúde e Bem-Estar,2026-01-25,2026-02-03,2026-02-06,Paletizado,Porto,Atlântico Distribuição,MRW,318.73,11,173,9,0.10,857,Alta,0.48,0,1
PED20260119,Auchan Retail PT,Portugal,Centro,Peças Industriais,2026-02-22,2026-03-03,2026-03-05,Paletizado,Barcelona,Valencia Source,CTT Expresso,21483.80,134,209,9,0.06,1236,Média,0.51,1,1
PED20260120,MediaMarkt Iberia,Espanha,País Basco,Eletrodomésticos,2026-04-08,2026-04-14,2026-04-13,Paletizado,Valência,IberSupply Logistics,MRW,45411.18,208,113,6,0.13,932,Média,0.44,0,0
PED20260121,Mercadona Empresas,Espanha,Valência,Eletrónica,2026-04-05,2026-04-08,2026-04-09,Rodoviário,Lisboa,Lisboa Components,Correos Express,13223.76,94,99,3,0.21,673,Alta,0.13,0,1
