id_pedido,data_pedido,cliente,segmento_cliente,pais_destino,cidade_destino,regiao_destino,armazem_origem,fornecedor,transportadora,modo_transporte,codigo_produto,produto,categoria_produto,unidades_pedidas,stock_disponivel,valor_pedido_eur,custo_transporte_eur,margem_prevista_pct,distancia_km,prioridade,lead_time_prometido_dias,lead_time_previsto_ia_dias,taxa_atraso_fornecedor,taxa_atraso_transportadora,score_risco_ia,atraso_previsto_ia,atraso_real,dias_atraso_real,data_prometida_entrega,data_real_entrega,stock_insuficiente,dados_incompletos,problema_principal,acao_recomendada
SCM20260011,2026-03-02,Pingo Doce Distribuição,Retalho Alimentar,Portugal,Porto,Norte,Armazém Porto,Madrid Goods Network,NACEX,Rodoviário,P001,Tablet robusto para logística,Eletrónica,120,249,50400.00,70.63,0.229,414,Baixa,8,7,0.30,0.04,0.39,Nao,Sim,7,2026-03-10,2026-03-17,Não,Não,Fornecedor instável,"Validar fornecedor alternativo, renegociar SLA ou aumentar stock de segurança"
SCM20260012,2026-02-02,FNAC Portugal,Retalho Especializado,Portugal,Coimbra,Centro,Armazém Madrid,Lisboa Components,DHL Iberia,Rodoviário,P008,Caixas de acondicionamento,Material de Armazém,70,123,315.00,66.90,0.192,264,Baixa,5,5,0.11,0.09,0.10,Nao,Nao,0,2026-02-07,2026-02-06,Não,Não,Sem alerta crítico,Monitorizar normalmente
SCM20260013,2026-03-04,Makro España,Grossista,Espanha,Bilbao,País Basco,Armazém Lisboa,Andalucía Supply Hub,GLS Iberia,Cross-docking,P010,Dispositivo POS móvel,Eletrónica,225,372,58500.00,109.23,0.308,617,Média,5,6,0.24,0.04,0.60,Sim,Sim,5,2026-03-09,2026-03-14,Não,Não,Fornecedor instável,"Validar fornecedor alternativo, renegociar SLA ou aumentar stock de segurança"
SCM20260014,2026-02-19,Carrefour España,Retalho Alimentar,Espanha,Barcelona,Catalunha,Armazém Porto,Madrid Goods Network,DHL Iberia,Rodoviário,P009,Mini-frigorífico hotelaria,Eletrodomésticos,138,271,28980.00,84.23,0.273,442,Média,7,6,0.29,0.03,0.49,Nao,Sim,4,2026-02-26,2026-03-02,Não,Não,Fornecedor instável,"Validar fornecedor alternativo, renegociar SLA ou aumentar stock de segurança"
SCM20260015,2026-04-05,Makro Portugal,Grossista,Portugal,Faro,Algarve,Armazém Porto,Lisboa Components,DHL Iberia,Rodoviário,P008,Caixas de acondicionamento,Material de Armazém,81,6,364.50,101.50,0.260,686,Crítica,8,9,0.13,0.05,0.48,Nao,Nao,0,2026-04-13,2026-04-13,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260016,2026-02-19,Hospital Quirón Madrid,Saúde,Espanha,Madrid,Madrid,Armazém Madrid,Lisboa Components,MRW,Rodoviário,P002,Scanner código de barras,Eletrónica,221,256,41990.00,171.00,0.261,820,Média,6,11,0.11,0.34,0.72,Sim,Sim,2,2026-02-25,2026-02-27,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260017,2026-02-04,Continente Empresas,Retalho Alimentar,Portugal,Lisboa,Lisboa e Vale do Tejo,Armazém Lisboa,Lisboa Components,Correos Express,Rodoviário,P008,Caixas de acondicionamento,Material de Armazém,178,250,801.00,122.86,0.154,726,Baixa,8,7,0.11,0.30,0.22,Nao,Nao,0,2026-02-12,2026-02-12,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260018,2026-05-08,Distribución Galicia,Grossista,Espanha,Vigo,Galiza,Armazém Barcelona,Atlântico Distribuição,NACEX,Paletizado,P009,Mini-frigorífico hotelaria,Eletrodomésticos,13,12,2730.00,146.28,0.258,1027,Média,7,7,0.13,0.08,0.23,Nao,Nao,0,2026-05-15,2026-05-14,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260019,2026-02-12,Continente Empresas,Retalho Alimentar,Portugal,Lisboa,Lisboa e Vale do Tejo,Armazém Porto,Norte Industrial,NACEX,Expresso,P003,Etiquetas térmicas,Material de Armazém,96,190,1728.00,300.44,0.021,842,Média,2,3,0.09,0.09,0.29,Nao,Nao,0,2026-02-14,2026-02-13,Não,Não,Margem pressionada,"Rever preço, consolidar envios, alterar armazém de origem ou modo de transporte"
SCM20260020,2026-04-06,Mercadona Empresas,Retalho Alimentar,Espanha,Madrid,Madrid,,Porto Tech Parts,NACEX,Rodoviário,P007,Peça mecânica industrial,Peças Industriais,152,175,24320.00,131.34,0.152,855,Média,5,10,0.04,0.04,0.71,Sim,Nao,0,2026-04-11,2026-04-11,Não,Sim,Dados incompletos,Corrigir dados antes da decisão e tornar campos obrigatórios no sistema
SCM20260021,2026-04-21,Makro España,Grossista,Espanha,Bilbao,País Basco,Armazém Lisboa,Porto Tech Parts,DHL Iberia,Cross-docking,P008,Caixas de acondicionamento,Material de Armazém,147,233,661.50,150.27,0.237,1082,Baixa,7,7,0.06,0.04,0.18,Nao,Nao,0,2026-04-28,2026-04-28,Não,Não,Sem alerta crítico,Monitorizar normalmente
SCM20260022,2026-03-14,Hospital Luz Lisboa,Saúde,Portugal,Lisboa,Lisboa e Vale do Tejo,Armazém Madrid,Porto Tech Parts,SEUR,Expresso,P008,Caixas de acondicionamento,Material de Armazém,211,336,949.50,82.05,0.278,662,Média,5,5,0.14,0.38,0.29,Nao,Nao,0,2026-03-19,2026-03-19,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260023,2026-02-15,FNAC Portugal,Retalho Especializado,Portugal,Coimbra,Centro,Armazém Lisboa,Valencia Source,DHL Iberia,Paletizado,P002,Scanner código de barras,Eletrónica,71,154,13490.00,125.30,0.226,1014,Média,8,10,0.36,0.06,0.86,Sim,Sim,6,2026-02-23,2026-03-01,Não,Não,Fornecedor instável,"Validar fornecedor alternativo, renegociar SLA ou aumentar stock de segurança"
SCM20260024,2026-02-28,Makro España,Grossista,Espanha,Bilbao,País Basco,Armazém Lisboa,Atlântico Distribuição,NACEX,Paletizado,P005,Kit primeiros socorros,Saúde e Bem-Estar,225,231,7875.00,225.63,0.053,470,Média,4,8,0.03,0.13,0.60,Sim,Sim,6,2026-03-04,2026-03-10,Não,Não,Margem pressionada,"Rever preço, consolidar envios, alterar armazém de origem ou modo de transporte"
SCM20260025,2026-02-07,Continente Empresas,Retalho Alimentar,Portugal,Lisboa,Lisboa e Vale do Tejo,Armazém Lisboa,Andalucía Supply Hub,GLS Iberia,Rodoviário,P010,Dispositivo POS móvel,Eletrónica,161,168,41860.00,136.65,0.293,1117,Alta,8,8,0.37,0.07,0.43,Nao,Nao,0,2026-02-15,2026-02-15,Não,Não,Fornecedor instável,"Validar fornecedor alternativo, renegociar SLA ou aumentar stock de segurança"
SCM20260026,2026-05-05,Worten Business,Retalho Especializado,Portugal,Braga,Norte,Armazém Madrid,Lisboa Components,DHL Iberia,Expresso,P005,Kit primeiros socorros,Saúde e Bem-Estar,195,69,6825.00,52.68,0.245,95,Alta,7,6,0.12,0.08,0.38,Nao,Nao,0,2026-05-12,2026-05-12,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260027,2026-02-20,Carrefour España,Retalho Alimentar,Espanha,Barcelona,Catalunha,Armazém Barcelona,Valencia Source,NACEX,Expresso,P006,Sensor IoT de temperatura,Eletrónica,30,98,2550.00,47.97,0.196,202,Alta,9,13,0.30,0.07,0.83,Sim,Sim,3,2026-03-01,2026-03-04,Não,Não,Fornecedor instável,"Validar fornecedor alternativo, renegociar SLA ou aumentar stock de segurança"
SCM20260028,2026-03-17,MediaMarkt Iberia,Retalho Especializado,Espanha,Valência,Comunidade Valenciana,Armazém Porto,Atlântico Distribuição,NACEX,Expresso,P005,Kit primeiros socorros,Saúde e Bem-Estar,18,97,630.00,172.54,0.052,77,Baixa,5,6,0.13,0.07,0.14,Nao,Nao,0,2026-03-22,2026-03-21,Não,Não,Margem pressionada,"Rever preço, consolidar envios, alterar armazém de origem ou modo de transporte"
SCM20260029,2026-04-13,Hotelaria Algarve,Hotelaria,Portugal,Albufeira,Algarve,Armazém Barcelona,Lisboa Components,GLS Iberia,Expresso,P001,Tablet robusto para logística,Eletrónica,50,3,21000.00,94.53,0.194,629,Média,4,6,0.06,0.06,0.63,Sim,Sim,7,2026-04-17,2026-04-24,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260030,2026-04-11,Mercadona Empresas,Retalho Alimentar,Espanha,Madrid,Madrid,,Lisboa Components,CTT Expresso,Rodoviário,P004,Luvas de segurança,EPI,191,371,1337.00,109.71,0.216,715,Média,6,7,0.08,0.05,0.72,Sim,Sim,1,2026-04-17,2026-04-18,Não,Sim,Dados incompletos,Corrigir dados antes da decisão e tornar campos obrigatórios no sistema
SCM20260031,2026-03-16,Carrefour España,Retalho Alimentar,Espanha,Barcelona,Catalunha,Armazém Lisboa,,CTT Expresso,Cross-docking,P006,Sensor IoT de temperatura,Eletrónica,46,59,3910.00,151.70,0.295,1188,Média,2,3,0.14,0.08,0.64,Sim,Sim,3,2026-03-18,2026-03-21,Não,Sim,Dados incompletos,Corrigir dados antes da decisão e tornar campos obrigatórios no sistema
SCM20260032,2026-04-10,Carrefour España,Retalho Alimentar,Espanha,Barcelona,Catalunha,Armazém Madrid,Valencia Source,NACEX,Cross-docking,P006,Sensor IoT de temperatura,Eletrónica,36,67,3060.00,53.46,0.277,191,Baixa,8,9,0.26,0.10,0.78,Sim,Nao,0,2026-04-18,2026-04-17,Não,Não,Fornecedor instável,"Validar fornecedor alternativo, renegociar SLA ou aumentar stock de segurança"
SCM20260033,2026-04-03,Pingo Doce Distribuição,Retalho Alimentar,Portugal,Porto,Norte,Armazém Madrid,Atlântico Distribuição,Correos Express,Rodoviário,P004,Luvas de segurança,EPI,45,57,315.00,116.59,0.259,726,Média,8,10,0.09,0.36,0.61,Sim,Sim,2,2026-04-11,2026-04-13,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260034,2026-03-25,Continente Empresas,Retalho Alimentar,Portugal,Lisboa,Lisboa e Vale do Tejo,Armazém Porto,Norte Industrial,SEUR,Expresso,P007,Peça mecânica industrial,Peças Industriais,14,118,2240.00,103.86,0.288,1057,Baixa,7,7,0.12,0.30,0.17,Nao,Nao,0,2026-04-01,2026-04-01,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260035,2026-02-01,Makro España,Grossista,Espanha,Bilbao,País Basco,,Lisboa Components,CTT Expresso,Cross-docking,P003,Etiquetas térmicas,Material de Armazém,84,241,1512.00,52.64,0.244,324,Média,2,1,0.03,0.09,0.10,Nao,Nao,0,2026-02-03,2026-02-03,Não,Sim,Dados incompletos,Corrigir dados antes da decisão e tornar campos obrigatórios no sistema
SCM20260036,2026-04-13,Auchan Retail Portugal,Retalho Alimentar,Portugal,Setúbal,Lisboa e Vale do Tejo,Armazém Barcelona,Porto Tech Parts,NACEX,Cross-docking,P001,Tablet robusto para logística,Eletrónica,117,278,49140.00,39.80,0.256,89,Média,5,5,0.08,0.12,0.32,Nao,Nao,0,2026-04-18,2026-04-17,Não,Não,Sem alerta crítico,Monitorizar normalmente
SCM20260037,2026-05-19,Makro Portugal,Grossista,Portugal,Faro,Algarve,Armazém Barcelona,Atlântico Distribuição,Correos Express,Paletizado,P005,Kit primeiros socorros,Saúde e Bem-Estar,61,160,2135.00,133.77,0.280,718,Crítica,2,5,0.12,0.34,0.92,Sim,Sim,2,2026-05-21,2026-05-23,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260038,2026-02-14,Mercadona Empresas,Retalho Alimentar,Espanha,Madrid,Madrid,Armazém Barcelona,Norte Industrial,Correos Express,Cross-docking,P007,Peça mecânica industrial,Peças Industriais,118,275,18880.00,125.86,0.228,847,Média,3,3,0.03,0.26,0.24,Nao,Nao,0,2026-02-17,2026-02-16,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260039,2026-03-02,FNAC Portugal,Retalho Especializado,Portugal,Coimbra,Centro,Armazém Madrid,Norte Industrial,CTT Expresso,Rodoviário,P006,Sensor IoT de temperatura,Eletrónica,158,99,13430.00,119.14,0.253,734,Média,5,6,0.13,0.04,0.65,Sim,Sim,4,2026-03-07,2026-03-11,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260040,2026-02-09,Hospital Luz Lisboa,Saúde,Portugal,Lisboa,Lisboa e Vale do Tejo,Armazém Lisboa,Lisboa Components,CTT Expresso,Expresso,P004,Luvas de segurança,EPI,200,154,1400.00,109.43,0.206,818,Baixa,6,6,0.10,0.09,0.37,Nao,Sim,1,2026-02-15,2026-02-16,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260041,2026-05-06,Hotelaria Algarve,Hotelaria,Portugal,Albufeira,Algarve,Armazém Barcelona,Lisboa Components,DHL Iberia,Expresso,P006,Sensor IoT de temperatura,Eletrónica,148,2,12580.00,58.11,0.165,231,Alta,8,11,0.09,0.11,0.85,Sim,Sim,1,2026-05-14,2026-05-15,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260042,2026-04-22,Makro Portugal,Grossista,Portugal,Faro,Algarve,Armazém Lisboa,Porto Tech Parts,DHL Iberia,Cross-docking,P005,Kit primeiros socorros,Saúde e Bem-Estar,65,139,2275.00,66.84,0.241,395,Alta,5,6,0.11,0.06,0.19,Nao,Nao,0,2026-04-27,2026-04-26,Não,Não,Sem alerta crítico,Monitorizar normalmente
SCM20260043,2026-03-31,Pingo Doce Distribuição,Retalho Alimentar,Portugal,Porto,Norte,Armazém Madrid,Atlântico Distribuição,CTT Expresso,Paletizado,P008,Caixas de acondicionamento,Material de Armazém,216,110,972.00,120.24,0.206,943,Média,2,4,0.10,0.10,0.85,Sim,Sim,7,2026-04-02,2026-04-09,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260044,2026-03-02,Distribución Galicia,Grossista,Espanha,Vigo,Galiza,Armazém Porto,Atlântico Distribuição,DHL Iberia,Expresso,P004,Luvas de segurança,EPI,106,276,742.00,290.36,0.063,659,Média,7,8,0.12,0.11,0.27,Nao,Nao,0,2026-03-09,2026-03-09,Não,Não,Margem pressionada,"Rever preço, consolidar envios, alterar armazém de origem ou modo de transporte"
SCM20260045,2026-03-31,FNAC Portugal,Retalho Especializado,Portugal,Coimbra,Centro,Armazém Porto,Atlântico Distribuição,NACEX,Paletizado,P006,Sensor IoT de temperatura,Eletrónica,182,142,15470.00,68.25,0.310,268,Média,2,6,0.05,0.08,0.86,Sim,Sim,7,2026-04-02,2026-04-09,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260046,2026-04-05,Carrefour España,Retalho Alimentar,Espanha,Barcelona,Catalunha,Armazém Barcelona,Atlântico Distribuição,NACEX,Rodoviário,P007,Peça mecânica industrial,Peças Industriais,123,45,19680.00,92.47,0.193,606,Média,3,7,0.04,0.08,0.71,Sim,Sim,2,2026-04-08,2026-04-10,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260047,2026-04-12,MediaMarkt Iberia,Retalho Especializado,Espanha,Valência,Comunidade Valenciana,Armazém Lisboa,Lisboa Components,MRW,Cross-docking,P010,Dispositivo POS móvel,Eletrónica,63,80,16380.00,127.14,0.298,1319,Baixa,8,7,0.12,0.29,0.34,Nao,Nao,0,2026-04-20,2026-04-20,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260048,2026-04-11,Mercadona Empresas,Retalho Alimentar,Espanha,Madrid,Madrid,Armazém Lisboa,Porto Tech Parts,NACEX,Expresso,P006,Sensor IoT de temperatura,Eletrónica,87,185,7395.00,214.76,0.030,367,Alta,8,13,0.10,0.12,0.70,Sim,Sim,1,2026-04-19,2026-04-20,Não,Não,Margem pressionada,"Rever preço, consolidar envios, alterar armazém de origem ou modo de transporte"
SCM20260049,2026-04-27,Distribución Galicia,Grossista,Espanha,Vigo,Galiza,Armazém Madrid,Lisboa Components,DHL Iberia,Paletizado,P006,Sensor IoT de temperatura,Eletrónica,91,270,7735.00,430.35,0.060,1295,Média,8,9,0.06,0.11,0.52,Sim,Nao,0,2026-05-05,2026-05-04,Não,Não,Margem pressionada,"Rever preço, consolidar envios, alterar armazém de origem ou modo de transporte"
SCM20260050,2026-03-16,Pingo Doce Distribuição,Retalho Alimentar,Portugal,Porto,Norte,Armazém Porto,Lisboa Components,GLS Iberia,Expresso,P007,Peça mecânica industrial,Peças Industriais,228,136,36480.00,70.55,0.202,347,Média,6,6,0.13,0.11,0.26,Nao,Sim,6,2026-03-22,2026-03-28,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260051,2026-04-05,FNAC Portugal,Retalho Especializado,Portugal,Coimbra,Centro,Armazém Madrid,Lisboa Components,NACEX,Rodoviário,P010,Dispositivo POS móvel,Eletrónica,160,237,41600.00,57.91,0.237,343,Média,2,1,0.04,0.12,0.21,Nao,Nao,0,2026-04-07,2026-04-07,Não,Não,Sem alerta crítico,Monitorizar normalmente
SCM20260052,2026-05-19,Mercadona Empresas,Retalho Alimentar,Espanha,Madrid,Madrid,Armazém Porto,Madrid Goods Network,CTT Expresso,Rodoviário,P001,Tablet robusto para logística,Eletrónica,101,111,42420.00,115.03,0.159,895,Crítica,8,10,0.37,0.06,0.66,Sim,Sim,1,2026-05-27,2026-05-28,Não,Não,Fornecedor instável,"Validar fornecedor alternativo, renegociar SLA ou aumentar stock de segurança"
SCM20260053,2026-03-18,El Corte Inglés Madrid,Retalho Especializado,Espanha,Madrid,Madrid,Armazém Madrid,Porto Tech Parts,NACEX,Rodoviário,P005,Kit primeiros socorros,Saúde e Bem-Estar,99,276,3465.00,101.91,0.225,692,Crítica,5,6,0.09,0.12,0.21,Nao,Nao,0,2026-03-23,2026-03-23,Não,Não,Sem alerta crítico,Monitorizar normalmente
SCM20260054,2026-02-05,Mercadona Empresas,Retalho Alimentar,Espanha,Madrid,Madrid,Armazém Lisboa,Atlântico Distribuição,SEUR,Rodoviário,P010,Dispositivo POS móvel,Eletrónica,201,214,52260.00,128.09,0.247,919,Baixa,7,6,0.05,0.36,0.11,Nao,Nao,0,2026-02-12,2026-02-11,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260055,2026-04-21,Hospital Luz Lisboa,Saúde,Portugal,Lisboa,Lisboa e Vale do Tejo,Armazém Porto,Norte Industrial,GLS Iberia,Expresso,P007,Peça mecânica industrial,Peças Industriais,142,295,22720.00,103.06,0.209,583,Média,6,7,0.08,0.06,0.34,Nao,Sim,4,2026-04-27,2026-05-01,Não,Não,Sem alerta crítico,Monitorizar normalmente
SCM20260056,2026-03-10,Hotelaria Algarve,Hotelaria,Portugal,Albufeira,Algarve,Armazém Barcelona,Lisboa Components,DHL Iberia,Cross-docking,P006,Sensor IoT de temperatura,Eletrónica,192,300,16320.00,135.85,0.183,1127,Média,7,7,0.05,0.04,0.34,Nao,Nao,0,2026-03-17,2026-03-17,Não,Não,Sem alerta crítico,Monitorizar normalmente
SCM20260057,2026-03-29,Mercadona Empresas,Retalho Alimentar,Espanha,Madrid,Madrid,Armazém Lisboa,Lisboa Components,MRW,Expresso,P003,Etiquetas térmicas,Material de Armazém,55,89,990.00,153.31,0.226,1218,Média,2,2,0.08,0.34,0.29,Nao,Nao,0,2026-03-31,2026-03-31,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260058,2026-05-06,Worten Business,Retalho Especializado,Portugal,Braga,Norte,Armazém Lisboa,Porto Tech Parts,DHL Iberia,Expresso,P002,Scanner código de barras,Eletrónica,213,350,40470.00,206.76,0.072,254,Média,3,3,0.07,0.04,0.32,Nao,Sim,7,2026-05-09,2026-05-16,Não,Não,Margem pressionada,"Rever preço, consolidar envios, alterar armazém de origem ou modo de transporte"
SCM20260059,2026-05-15,FNAC Portugal,Retalho Especializado,Portugal,Coimbra,Centro,Armazém Lisboa,Norte Industrial,CTT Expresso,Expresso,P003,Etiquetas térmicas,Material de Armazém,192,249,3456.00,346.90,0.051,966,Alta,7,8,0.12,0.13,0.69,Sim,Sim,5,2026-05-22,2026-05-27,Não,Não,Margem pressionada,"Rever preço, consolidar envios, alterar armazém de origem ou modo de transporte"
SCM20260060,2026-02-25,Makro España,Grossista,Espanha,Bilbao,País Basco,Armazém Madrid,Norte Industrial,DHL Iberia,Rodoviário,P001,Tablet robusto para logística,Eletrónica,154,149,64680.00,146.46,0.220,1004,Baixa,3,5,0.05,0.06,0.85,Sim,Sim,2,2026-02-28,2026-03-02,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260061,2026-03-25,Makro España,Grossista,Espanha,Bilbao,País Basco,Armazém Lisboa,Lisboa Components,NACEX,Paletizado,P009,Mini-frigorífico hotelaria,Eletrodomésticos,192,241,40320.00,247.23,0.044,524,Média,2,1,0.09,0.12,0.37,Nao,Nao,0,2026-03-27,2026-03-27,Não,Não,Margem pressionada,"Rever preço, consolidar envios, alterar armazém de origem ou modo de transporte"
SCM20260062,2026-03-12,Mercadona Empresas,Retalho Alimentar,Espanha,Madrid,Madrid,Armazém Porto,Atlântico Distribuição,CTT Expresso,Rodoviário,P004,Luvas de segurança,EPI,90,187,630.00,87.65,0.268,673,Alta,7,7,0.07,0.08,0.21,Nao,Nao,0,2026-03-19,2026-03-19,Não,Não,Sem alerta crítico,Monitorizar normalmente
SCM20260063,2026-04-04,Auchan Retail Portugal,Retalho Alimentar,Portugal,Setúbal,Lisboa e Vale do Tejo,Armazém Lisboa,Norte Industrial,Correos Express,Expresso,P001,Tablet robusto para logística,Eletrónica,167,324,70140.00,91.23,0.165,1171,Média,8,13,0.08,0.27,0.88,Sim,Sim,1,2026-04-12,2026-04-13,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260064,2026-02-11,Carrefour España,Retalho Alimentar,Espanha,Barcelona,Catalunha,Armazém Barcelona,Norte Industrial,Correos Express,Expresso,P009,Mini-frigorífico hotelaria,Eletrodomésticos,71,177,14910.00,56.76,0.251,1301,Crítica,3,2,0.05,0.32,0.23,Nao,Nao,0,2026-02-14,2026-02-14,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
